iter	Passed	Remaining
0	0	750
1	1	709
2	2	677
3	2	648
4	3	641
5	3	630
6	4	614
7	4	602
8	5	605
9	5	593
10	6	593
11	7	594
12	7	597
13	8	594
14	9	596
15	9	593
16	10	588
17	10	585
18	11	584
19	11	584
20	12	583
21	13	580
22	13	576
23	14	576
24	14	573
25	15	570
26	15	567
27	16	566
28	16	566
29	17	563
30	17	561
31	18	561
32	19	560
33	19	562
34	20	566
35	21	566
36	21	566
37	22	565
38	22	562
39	23	561
40	23	560
41	24	559
42	25	559
43	25	558
44	26	559
45	26	558
46	27	558
47	28	555
48	28	554
49	29	554
50	29	553
51	30	552
52	30	552
53	31	552
54	32	551
55	32	551
56	33	549
57	33	548
58	34	547
59	34	547
60	35	546
61	36	544
62	36	542
63	37	543
64	37	543
65	38	542
66	38	542
67	39	543
68	40	542
69	40	541
70	41	540
71	41	538
72	42	537
73	42	536
74	43	535
75	44	535
76	44	534
77	45	533
78	45	533
79	46	532
80	46	531
81	47	531
82	48	530
83	48	529
84	49	529
85	49	529
86	50	529
87	50	528
88	51	526
89	52	526
90	52	525
91	53	524
92	53	523
93	54	523
94	54	522
95	55	521
96	56	521
97	56	521
98	57	520
99	57	520
100	58	519
101	58	519
102	59	518
103	60	517
104	60	516
105	61	516
106	61	516
107	62	516
108	63	515
109	63	516
110	64	519
111	65	519
112	66	519
113	66	518
114	67	519
115	68	518
116	68	519
117	69	520
118	70	519
119	70	520
120	71	517
121	71	517
122	72	516
123	73	516
124	74	518
125	77	536
126	80	554
127	82	559
128	84	567
129	85	573
130	91	604
131	92	607
132	93	606
133	95	620
134	97	623
135	98	624
136	99	626
137	100	627
138	101	629
139	102	629
140	103	628
141	104	629
142	104	627
143	105	626
144	106	625
145	106	624
146	107	622
147	107	621
148	108	619
149	109	618
150	109	616
151	110	615
152	110	613
153	111	612
154	111	610
155	112	608
156	112	606
157	113	605
158	114	603
159	114	602
160	115	600
161	115	598
162	116	596
163	116	594
164	117	593
165	117	591
166	118	589
167	118	587
168	119	586
169	119	584
170	120	583
171	120	582
172	121	580
173	122	579
174	122	577
175	123	576
176	123	574
177	124	573
178	124	571
179	125	569
180	125	569
181	126	567
182	126	566
183	127	564
184	128	563
185	128	562
186	129	561
187	129	560
188	130	559
189	130	557
190	131	556
191	131	555
192	132	554
193	133	552
194	133	551
195	134	550
196	134	549
197	135	548
198	135	547
199	136	545
200	137	544
201	137	543
202	138	543
203	138	541
204	139	540
205	139	539
206	140	538
207	141	537
208	141	535
209	142	534
210	142	533
211	143	532
212	143	531
213	144	530
214	145	529
215	145	528
216	146	527
217	146	526
218	147	525
219	147	523
220	148	522
221	148	521
222	149	520
223	149	519
224	150	518
225	150	516
226	151	515
227	151	514
228	152	513
229	153	512
230	153	510
231	153	509
232	154	508
233	155	507
234	155	506
235	156	505
236	156	504
237	157	503
238	157	502
239	158	501
240	158	500
241	159	499
242	159	497
243	160	497
